circuit_key,compound_rank,estimator,estimator_order,wear_s_per_lap,se_s_per_lap,laps,stints,races
portimao,MIDDLE,Fixed effects,2,0.0013303260203875234,0.0023751278506206923,1197,38,2
portimao,SOFTEST,Fixed effects,2,0.00036682404625093345,0.005983544221957277,338,20,2
red_bull_ring,HARDEST,Fixed effects,2,0.03349574097115175,0.0030452953712039954,5467,199,10
red_bull_ring,MIDDLE,Fixed effects,2,0.031817174690496414,0.0018843741848454318,4840,232,11
red_bull_ring,SOFTEST,Fixed effects,2,0.02760628964933363,0.009499755189028333,1624,96,10
rodriguez,HARDEST,Fixed effects,2,0.01917214509142884,0.003400184466133652,3585,111,7
rodriguez,MIDDLE,Fixed effects,2,0.02677237135708767,0.0051791722047298,3225,140,7
rodriguez,SOFTEST,Fixed effects,2,0.047311111349572055,0.00279514860846819,1104,58,7
shanghai,HARDEST,Fixed effects,2,0.03811270028275061,0.0026451923624510295,1503,74,4
shanghai,MIDDLE,Fixed effects,2,0.03665362241786529,0.0022042350371118866,1749,107,5
shanghai,SOFTEST,Fixed effects,2,0.034588240172992904,0.003269337368949254,500,49,5
silverstone,HARDEST,Fixed effects,2,0.03198310039892642,0.003912060861699067,2018,103,7
silverstone,MIDDLE,Fixed effects,2,0.027290331189672022,0.005491703159197008,2228,144,7
silverstone,SOFTEST,Fixed effects,2,0.01125362713544723,0.004990983364259489,878,74,7
singapore,HARDEST,Fixed effects,2,0.039901147591180845,0.0030349135539162824,2285,80,5
singapore,MIDDLE,Fixed effects,2,0.03287969919872142,0.002884522369240148,1951,83,5
singapore,SOFTEST,Fixed effects,2,0.03726682738473946,0.007524762755683377,724,48,5
sochi,HARDEST,Fixed effects,2,-0.00021464262747093396,0.0037291639612321375,1225,38,3
sochi,MIDDLE,Fixed effects,2,0.02154668478297063,0.003971473937078068,1283,66,4
sochi,SOFTEST,Fixed effects,2,0.029810140173755002,0.00890671724432883,720,48,4
