stint_id,race_id,driver_code,team,stint,compound,compound_rank,fresh_tyre,start_lap,end_lap,stint_laps,ended_in_pit,ran_to_flag,tyre_life_observed,caution_during_stint
2023_16_ZHO_s2,2023_16,ZHO,Alfa Romeo,2,SOFT,SOFTEST,True,2.0,10.0,9.0,True,False,True,True
2023_16_ZHO_s3,2023_16,ZHO,Alfa Romeo,3,SOFT,SOFTEST,True,11.0,29.0,19.0,True,False,True,True
2023_16_ZHO_s4,2023_16,ZHO,Alfa Romeo,4,HARD,HARDEST,True,30.0,52.0,23.0,False,True,False,False
2023_17_ALB_s1,2023_17,ALB,Williams,1,MEDIUM,MIDDLE,True,1.0,18.0,18.0,True,False,True,True
2023_17_ALB_s2,2023_17,ALB,Williams,2,MEDIUM,MIDDLE,True,19.0,31.0,13.0,True,False,True,False
2023_17_ALB_s3,2023_17,ALB,Williams,3,HARD,HARDEST,True,32.0,44.0,13.0,True,False,True,True
2023_17_ALB_s4,2023_17,ALB,Williams,4,HARD,HARDEST,True,45.0,57.0,13.0,False,True,False,False
2023_17_ALO_s1,2023_17,ALO,Aston Martin,1,MEDIUM,MIDDLE,False,1.0,11.0,11.0,True,False,True,True
2023_17_ALO_s2,2023_17,ALO,Aston Martin,2,MEDIUM,MIDDLE,False,12.0,26.0,15.0,True,False,True,False
2023_17_ALO_s3,2023_17,ALO,Aston Martin,3,HARD,HARDEST,True,27.0,44.0,18.0,True,False,True,True
2023_17_ALO_s4,2023_17,ALO,Aston Martin,4,MEDIUM,MIDDLE,True,45.0,57.0,13.0,False,True,False,False
2023_17_BOT_s1,2023_17,BOT,Alfa Romeo,1,SOFT,SOFTEST,False,1.0,3.0,3.0,True,False,True,True
2023_17_BOT_s2,2023_17,BOT,Alfa Romeo,2,MEDIUM,MIDDLE,True,4.0,21.0,18.0,True,False,True,True
2023_17_BOT_s3,2023_17,BOT,Alfa Romeo,3,HARD,HARDEST,True,22.0,39.0,18.0,True,False,True,True
2023_17_BOT_s4,2023_17,BOT,Alfa Romeo,4,HARD,HARDEST,False,40.0,57.0,18.0,False,True,False,True
2023_17_GAS_s1,2023_17,GAS,Alpine,1,MEDIUM,MIDDLE,False,1.0,11.0,11.0,True,False,True,True
2023_17_GAS_s2,2023_17,GAS,Alpine,2,MEDIUM,MIDDLE,False,12.0,26.0,15.0,True,False,True,False
2023_17_GAS_s3,2023_17,GAS,Alpine,3,HARD,HARDEST,True,27.0,44.0,18.0,True,False,True,True
2023_17_GAS_s4,2023_17,GAS,Alpine,4,MEDIUM,MIDDLE,True,45.0,57.0,13.0,False,True,False,False
2023_17_HAM_s1,2023_17,HAM,Mercedes,1,SOFT,SOFTEST,True,1.0,1.0,1.0,False,False,False,True
2023_17_HUL_s1,2023_17,HUL,Haas F1 Team,1,MEDIUM,MIDDLE,False,1.0,13.0,13.0,True,False,True,True
2023_17_HUL_s2,2023_17,HUL,Haas F1 Team,2,HARD,HARDEST,True,14.0,27.0,14.0,True,False,True,False
2023_17_HUL_s3,2023_17,HUL,Haas F1 Team,3,MEDIUM,MIDDLE,False,28.0,39.0,12.0,True,False,True,True
2023_17_HUL_s4,2023_17,HUL,Haas F1 Team,4,HARD,HARDEST,True,40.0,56.0,17.0,False,True,False,True
2023_17_LAW_s1,2023_17,LAW,AlphaTauri,1,SOFT,SOFTEST,True,1.0,3.0,3.0,True,False,True,True
2023_17_LAW_s2,2023_17,LAW,AlphaTauri,2,HARD,HARDEST,True,4.0,21.0,18.0,True,False,True,True
2023_17_LAW_s3,2023_17,LAW,AlphaTauri,3,HARD,HARDEST,True,22.0,39.0,18.0,True,False,True,True
2023_17_LAW_s4,2023_17,LAW,AlphaTauri,4,MEDIUM,MIDDLE,True,40.0,56.0,17.0,False,True,False,True
2023_17_LEC_s1,2023_17,LEC,Ferrari,1,MEDIUM,MIDDLE,False,1.0,12.0,12.0,True,False,True,True
2023_17_LEC_s2,2023_17,LEC,Ferrari,2,MEDIUM,MIDDLE,False,13.0,25.0,13.0,True,False,True,False
2023_17_LEC_s3,2023_17,LEC,Ferrari,3,HARD,HARDEST,True,26.0,43.0,18.0,True,False,True,True
2023_17_LEC_s4,2023_17,LEC,Ferrari,4,MEDIUM,MIDDLE,True,44.0,57.0,14.0,False,True,False,False
2023_17_MAG_s1,2023_17,MAG,Haas F1 Team,1,SOFT,SOFTEST,True,1.0,3.0,3.0,True,False,True,True
2023_17_MAG_s2,2023_17,MAG,Haas F1 Team,2,MEDIUM,MIDDLE,True,4.0,21.0,18.0,True,False,True,True
2023_17_MAG_s3,2023_17,MAG,Haas F1 Team,3,HARD,HARDEST,True,22.0,39.0,18.0,True,False,True,True
2023_17_MAG_s4,2023_17,MAG,Haas F1 Team,4,HARD,HARDEST,True,40.0,56.0,17.0,False,True,False,True
2023_17_NOR_s1,2023_17,NOR,McLaren,1,MEDIUM,MIDDLE,False,1.0,13.0,13.0,True,False,True,True
2023_17_NOR_s2,2023_17,NOR,McLaren,2,MEDIUM,MIDDLE,False,14.0,27.0,14.0,True,False,True,False
2023_17_NOR_s3,2023_17,NOR,McLaren,3,MEDIUM,MIDDLE,True,28.0,44.0,17.0,True,False,True,True
2023_17_NOR_s4,2023_17,NOR,McLaren,4,HARD,HARDEST,True,45.0,57.0,13.0,False,True,False,False
2023_17_OCO_s1,2023_17,OCO,Alpine,1,MEDIUM,MIDDLE,False,1.0,10.0,10.0,True,False,True,True
2023_17_OCO_s2,2023_17,OCO,Alpine,2,MEDIUM,MIDDLE,False,11.0,25.0,15.0,True,False,True,False
2023_17_OCO_s3,2023_17,OCO,Alpine,3,HARD,HARDEST,True,26.0,43.0,18.0,True,False,True,True
2023_17_OCO_s4,2023_17,OCO,Alpine,4,MEDIUM,MIDDLE,True,44.0,57.0,14.0,False,True,False,False
2023_17_PER_s1,2023_17,PER,Red Bull Racing,1,HARD,HARDEST,True,1.0,17.0,17.0,True,False,True,True
2023_17_PER_s2,2023_17,PER,Red Bull Racing,2,MEDIUM,MIDDLE,False,18.0,31.0,14.0,True,False,True,False
2023_17_PER_s3,2023_17,PER,Red Bull Racing,3,MEDIUM,MIDDLE,False,32.0,43.0,12.0,True,False,True,True
2023_17_PER_s4,2023_17,PER,Red Bull Racing,4,MEDIUM,MIDDLE,True,44.0,57.0,14.0,False,True,False,False
2023_17_PIA_s1,2023_17,PIA,McLaren,1,MEDIUM,MIDDLE,False,1.0,12.0,12.0,True,False,True,True
2023_17_PIA_s2,2023_17,PIA,McLaren,2,MEDIUM,MIDDLE,False,13.0,25.0,13.0,True,False,True,False
2023_17_PIA_s3,2023_17,PIA,McLaren,3,MEDIUM,MIDDLE,True,26.0,43.0,18.0,True,False,True,True
2023_17_PIA_s4,2023_17,PIA,McLaren,4,HARD,HARDEST,True,44.0,57.0,14.0,False,True,False,False
2023_17_RUS_s1,2023_17,RUS,Mercedes,1,MEDIUM,MIDDLE,False,1.0,1.0,1.0,True,False,True,True
2023_17_RUS_s2,2023_17,RUS,Mercedes,2,MEDIUM,MIDDLE,False,2.0,14.0,13.0,True,False,True,True
2023_17_RUS_s3,2023_17,RUS,Mercedes,3,MEDIUM,MIDDLE,True,15.0,32.0,18.0,True,False,True,False
2023_17_RUS_s4,2023_17,RUS,Mercedes,4,HARD,HARDEST,True,33.0,50.0,18.0,True,False,True,True
2023_17_RUS_s5,2023_17,RUS,Mercedes,5,SOFT,SOFTEST,False,51.0,57.0,7.0,False,True,False,False
2023_17_SAR_s1,2023_17,SAR,Williams,1,MEDIUM,MIDDLE,True,1.0,13.0,13.0,True,False,True,True
2023_17_SAR_s2,2023_17,SAR,Williams,2,MEDIUM,MIDDLE,True,14.0,26.0,13.0,True,False,True,False
2023_17_SAR_s3,2023_17,SAR,Williams,3,HARD,HARDEST,True,27.0,40.0,14.0,True,False,True,True
2023_17_STR_s1,2023_17,STR,Aston Martin,1,MEDIUM,MIDDLE,False,1.0,3.0,3.0,True,False,True,True
2023_17_STR_s2,2023_17,STR,Aston Martin,2,MEDIUM,MIDDLE,True,4.0,21.0,18.0,True,False,True,True
2023_17_STR_s3,2023_17,STR,Aston Martin,3,HARD,HARDEST,True,22.0,39.0,18.0,True,False,True,True
2023_17_STR_s4,2023_17,STR,Aston Martin,4,MEDIUM,MIDDLE,True,40.0,57.0,18.0,False,True,False,True
2023_17_TSU_s1,2023_17,TSU,AlphaTauri,1,MEDIUM,MIDDLE,True,1.0,9.0,9.0,True,False,True,True
2023_17_TSU_s2,2023_17,TSU,AlphaTauri,2,MEDIUM,MIDDLE,True,10.0,22.0,13.0,True,False,True,False
2023_17_TSU_s3,2023_17,TSU,AlphaTauri,3,HARD,HARDEST,True,23.0,40.0,18.0,True,False,True,True
2023_17_TSU_s4,2023_17,TSU,AlphaTauri,4,HARD,HARDEST,True,41.0,56.0,16.0,False,True,False,False
2023_17_VER_s1,2023_17,VER,Red Bull Racing,1,MEDIUM,MIDDLE,False,1.0,17.0,17.0,True,False,True,True
2023_17_VER_s2,2023_17,VER,Red Bull Racing,2,MEDIUM,MIDDLE,False,18.0,34.0,17.0,True,False,True,True
2023_17_VER_s3,2023_17,VER,Red Bull Racing,3,HARD,HARDEST,True,35.0,51.0,17.0,True,False,True,True
2023_17_VER_s4,2023_17,VER,Red Bull Racing,4,MEDIUM,MIDDLE,True,52.0,57.0,6.0,False,True,False,False
2023_17_ZHO_s1,2023_17,ZHO,Alfa Romeo,1,MEDIUM,MIDDLE,True,1.0,18.0,18.0,True,False,True,True
2023_17_ZHO_s2,2023_17,ZHO,Alfa Romeo,2,HARD,HARDEST,True,19.0,35.0,17.0,True,False,True,True
2023_17_ZHO_s3,2023_17,ZHO,Alfa Romeo,3,HARD,HARDEST,True,36.0,52.0,17.0,True,False,True,True
2023_17_ZHO_s4,2023_17,ZHO,Alfa Romeo,4,SOFT,SOFTEST,True,53.0,57.0,5.0,False,True,False,False
2023_18_ALB_s1,2023_18,ALB,Williams,1,MEDIUM,MIDDLE,False,1.0,10.0,10.0,True,False,True,False
2023_18_ALB_s2,2023_18,ALB,Williams,2,HARD,HARDEST,True,11.0,29.0,19.0,True,False,True,False
2023_18_ALB_s3,2023_18,ALB,Williams,3,MEDIUM,MIDDLE,False,30.0,56.0,27.0,False,True,False,True
2023_18_ALO_s1,2023_18,ALO,Aston Martin,1,MEDIUM,MIDDLE,False,1.0,19.0,19.0,True,False,True,False
2023_18_ALO_s2,2023_18,ALO,Aston Martin,2,MEDIUM,MIDDLE,True,20.0,42.0,23.0,True,False,True,False
2023_18_ALO_s3,2023_18,ALO,Aston Martin,3,HARD,HARDEST,True,43.0,49.0,7.0,True,False,True,False
2023_18_BOT_s1,2023_18,BOT,Alfa Romeo,1,MEDIUM,MIDDLE,True,1.0,10.0,10.0,True,False,True,False
2023_18_BOT_s2,2023_18,BOT,Alfa Romeo,2,HARD,HARDEST,True,11.0,28.0,18.0,True,False,True,False
2023_18_BOT_s3,2023_18,BOT,Alfa Romeo,3,HARD,HARDEST,True,29.0,56.0,28.0,False,True,False,True
2023_18_GAS_s1,2023_18,GAS,Alpine,1,MEDIUM,MIDDLE,True,1.0,18.0,18.0,True,False,True,False
2023_18_GAS_s2,2023_18,GAS,Alpine,2,MEDIUM,MIDDLE,True,19.0,37.0,19.0,True,False,True,False
2023_18_GAS_s3,2023_18,GAS,Alpine,3,HARD,HARDEST,True,38.0,56.0,19.0,False,True,False,True
2023_18_HAM_s1,2023_18,HAM,Mercedes,1,MEDIUM,MIDDLE,True,1.0,20.0,20.0,True,False,True,False
2023_18_HAM_s2,2023_18,HAM,Mercedes,2,HARD,HARDEST,True,21.0,38.0,18.0,True,False,True,False
2023_18_HAM_s3,2023_18,HAM,Mercedes,3,MEDIUM,MIDDLE,True,39.0,56.0,18.0,False,True,False,False
2023_18_HUL_s1,2023_18,HUL,Haas F1 Team,1,HARD,HARDEST,True,1.0,19.0,19.0,True,False,True,False
2023_18_HUL_s2,2023_18,HUL,Haas F1 Team,2,MEDIUM,MIDDLE,True,20.0,34.0,15.0,True,False,True,False
2023_18_HUL_s3,2023_18,HUL,Haas F1 Team,3,MEDIUM,MIDDLE,False,35.0,56.0,22.0,False,True,False,True
2023_18_LEC_s1,2023_18,LEC,Ferrari,1,MEDIUM,MIDDLE,True,1.0,23.0,23.0,True,False,True,False
2023_18_LEC_s2,2023_18,LEC,Ferrari,2,HARD,HARDEST,True,24.0,56.0,33.0,False,True,False,False
2023_18_MAG_s1,2023_18,MAG,Haas F1 Team,1,MEDIUM,MIDDLE,True,1.0,10.0,10.0,True,False,True,False
2023_18_MAG_s2,2023_18,MAG,Haas F1 Team,2,HARD,HARDEST,True,11.0,29.0,19.0,True,False,True,False
2023_18_MAG_s3,2023_18,MAG,Haas F1 Team,3,MEDIUM,MIDDLE,True,30.0,55.0,26.0,False,True,False,False
2023_18_NOR_s1,2023_18,NOR,McLaren,1,MEDIUM,MIDDLE,True,1.0,17.0,17.0,True,False,True,False
2023_18_NOR_s2,2023_18,NOR,McLaren,2,HARD,HARDEST,True,18.0,34.0,17.0,True,False,True,False
2023_18_NOR_s3,2023_18,NOR,McLaren,3,HARD,HARDEST,True,35.0,56.0,22.0,False,True,False,False
2023_18_OCO_s1,2023_18,OCO,Alpine,1,MEDIUM,MIDDLE,True,1.0,6.0,6.0,True,False,True,False
2023_18_PER_s1,2023_18,PER,Red Bull Racing,1,MEDIUM,MIDDLE,True,1.0,17.0,17.0,True,False,True,False
2023_18_PER_s2,2023_18,PER,Red Bull Racing,2,MEDIUM,MIDDLE,True,18.0,37.0,20.0,True,False,True,False
2023_18_PER_s3,2023_18,PER,Red Bull Racing,3,HARD,HARDEST,True,38.0,56.0,19.0,False,True,False,False
2023_18_PIA_s1,2023_18,PIA,McLaren,1,MEDIUM,MIDDLE,True,1.0,10.0,10.0,True,False,True,False
2023_18_RIC_s1,2023_18,RIC,AlphaTauri,1,MEDIUM,MIDDLE,True,1.0,22.0,22.0,True,False,True,False
2023_18_RIC_s2,2023_18,RIC,AlphaTauri,2,HARD,HARDEST,True,23.0,47.0,25.0,True,False,True,False
2023_18_RIC_s3,2023_18,RIC,AlphaTauri,3,SOFT,SOFTEST,True,48.0,55.0,8.0,False,True,False,False
2023_18_RUS_s1,2023_18,RUS,Mercedes,1,MEDIUM,MIDDLE,True,1.0,21.0,21.0,True,False,True,False
2023_18_RUS_s2,2023_18,RUS,Mercedes,2,HARD,HARDEST,True,22.0,39.0,18.0,True,False,True,False
2023_18_RUS_s3,2023_18,RUS,Mercedes,3,MEDIUM,MIDDLE,True,40.0,56.0,17.0,False,True,False,False
2023_18_SAI_s1,2023_18,SAI,Ferrari,1,MEDIUM,MIDDLE,True,1.0,17.0,17.0,True,False,True,False
2023_18_SAI_s2,2023_18,SAI,Ferrari,2,MEDIUM,MIDDLE,True,18.0,35.0,18.0,True,False,True,False
2023_18_SAI_s3,2023_18,SAI,Ferrari,3,HARD,HARDEST,True,36.0,56.0,21.0,False,True,False,False
2023_18_SAR_s1,2023_18,SAR,Williams,1,MEDIUM,MIDDLE,True,1.0,11.0,11.0,True,False,True,False
2023_18_SAR_s2,2023_18,SAR,Williams,2,HARD,HARDEST,True,12.0,32.0,21.0,True,False,True,False
2023_18_SAR_s3,2023_18,SAR,Williams,3,MEDIUM,MIDDLE,True,33.0,56.0,24.0,False,True,False,True
2023_18_STR_s1,2023_18,STR,Aston Martin,1,HARD,HARDEST,True,1.0,20.0,20.0,True,False,True,False
2023_18_STR_s2,2023_18,STR,Aston Martin,2,MEDIUM,MIDDLE,False,21.0,40.0,20.0,True,False,True,False
2023_18_STR_s3,2023_18,STR,Aston Martin,3,MEDIUM,MIDDLE,True,41.0,56.0,16.0,False,True,False,True
